DI	AFF	INST	TI	NAT
10.1016/j.sedgeo.2018.01.002	{Belgium, Chile, France}	{ Univ Ghent, Dept Geol, Renard Ctr Marine Geol, Krijgslaan 281 S8, B-9000 Ghent, Belgium;  Univ Paris Saclay, CEA CNRS UVSQ, Lab Sci Climat & Environm IPSL, Ave Terrasse, F-91198 Gif Sur Yvette, France;  Univ Magallanes, GAIA Antartica, Ave Bulnes 01855, Punta Arenas, Chile;  Barrio Univ, Univ Concepcion, Fac Ciencias Nat & Oceanog, Concepcion, Chile}	First evidence of a mid-Holocene earthquake-triggered megaturbidite south of the Chile Triple Junction	2
10.5194/bg-15-5891-2018	{Canada, HI 96822 USA, England, WA 98115 USA, Finland, MA 02543 USA, CA 93106 USA, Germany, Chile, Belgium, New Zealand, Peoples R China, Spain}	{ Univ Hawaii Manoa, Daniel K Inouye Ctr Microbial Oceanog Res & Educ, Honolulu, HI 96822 USA;  GEOMAR Helmholtz Ctr Ocean Res Kiel, Dusternbrooker Weg 20, D-24105 Kiel, Germany;  Newcastle Univ, Sch Nat & Environm Sci, Newcastle Upon Tyne, Tyne & Wear, England;  Univ Liege, Unite Oceanog Chim, Liege, Belgium;  Plymouth Marine Lab, Plymouth, Devon, England;  NOAA, Pacific Marine Environm Lab, 7600 Sand Point Way Ne, Seattle, WA 98115 USA;  Univ Cadiz, Inst Invest Marinas, Depi Quim Fis, Cadiz, Spain;  Univ British Columbia, Dept Earth Ocean & Atmospher Sci, Vancouver, BC, Canada;  US Geol Survey, Woods Hole Coastal & Marine Sci Ctr, Woods Hole, MA 02543 USA;  Inst Invest Marinas Punta Betin, Vigo, Spain;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Ctr Climate Res & Resilience CR2, Concepcion, Chile;  Leibniz Inst Balt Sea Res Warnemunde, Rostock, Germany;  Univ Calif Santa Barbara, Dept Ecol Evolut & Marine Biol, Santa Barbara, CA 93106 USA;  Natl Inst Water & Atmospher Res NIWA, Wellington, New Zealand;  Univ Otago, Dept Chem, Dunedin, New Zealand;  Univ Helsinki, Dept Environm Sci, Helsinki, Finland;  Univ China, Key Lab Marine Chem Theory & Technol MOE, Qingdao, Peoples R China;  Ctr Oceanog A Coruna, Inst Espanol Oceanog, La Coruna, Spain}	An intercomparison of oceanic methane and nitrous oxide measurements	2
10.1073/pnas.1802859115	{CA 95618 USA, UT 84322 USA, FL 32816 USA, Chile, WY 82071 USA, AZ 85287 USA}	{ Utah State Univ, Dept Sociol Social Work & Anthropology, Logan, UT 84322 USA;  Utah State Univ, Ctr Ecol, Logan, UT 84322 USA;  Univ Cent Florida, Dept Polit Sci, Orlando, FL 32816 USA;  Natl Ctr Integrated Coastal Res, Sustainable Coastal Cluster, Orlando, FL 32816 USA;  Univ Wyoming, Dept Anthropol, Laramie, WY 82071 USA;  Ctr Climate & Resilience Res, Santiago 8370449, Chile;  Far Western Anthropol Res Grp Inc, Davis, CA 95618 USA;  Arizona State Univ, Sch Sustainabil, Tempe, AZ 85287 USA}	Synchronization of energy consumption by human societies throughout the Holocene	1
10.3389/fmicb.2018.02353	{Spain, Chile, France}	{ Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Pontificia Univ Catolica Chile, Dept Mol Genet & Microbiol, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  CSIC, Programa Biol Sistemas, Ctr Nacl Biotecnol, Madrid, Spain;  Univ Piene & Marie Curie, Lab Oceanog Microbienne, Observ Oceanol, Sorbonne Univ,CNRS, Banyuls Sur Mer, France;  Univ Austral Chile, Fondap IDEAL, Valdivia, Chile;  Univ Tecnol Metropolitana, Programa Inst Fomento Invest Desarrollo & Innovac, Santiago, Chile}	Diurnal Changes in Active Carbon and Nitrogen Pathways Along the Temperature Gradient in Porcelana Hot Spring Microbial Mat	5
10.1007/s10584-018-2246-7	{Chile}	{ Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Dept Geophys, Santiago, Chile;  Univ Chile, Dept Civil Engn, Santiago, Chile}	Projected hydroclimate changes over Andean basins in central Chile from downscaled CMIP5 models under the low and high emission scenarios	3
10.1175/JHM-D-18-0006.1	{Argentina, CA 92093 USA, Chile}	{ Consejo Nacl Invest Cient & Tecn, CCT, Inst Argentino Nivol Glaciol & Ciencias Ambiental, Mendoza, Argentina;  Univ Chile, Dept Geofis, Santiago, Chile;  Univ Chile, Ctr Clima & Resiliencia, Santiago, Chile;  Univ Calif San Diego, Scripps Inst Oceanog, Ctr Western Weather & Water Extremes, La Jolla, CA 92093 USA}	Impacts of Atmospheric Rivers on Precipitation in Southern South America	2
10.1016/j.quascirev.2018.08.001	{CA 94550 USA, Australia, OH 43023 USA, CA 94720 USA, Chile, AZ 85287 USA}	{ Univ Calif Berkeley, Dept Environm Sci Policy & Management, 130 Mulford Hall, Berkeley, CA 94720 USA;  Univ Chile, Fac Ciencias Agron, Dept Ingn & Suelos, Santa Rosa 11315, La Pintana, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  Pontificia Univ Catolica Chile, Ctr UC Desierto Atacama, Santiago, Chile;  IEB, Santiago, Chile;  Univ Tarapaca, Inst Alta Invest, Antofagasta 1520,Casilla 6-D, Arica, Chile;  Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Lab Stable Isotope Biogeochem, Casilla 160-C, Concepcion, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  CSIRO Land & Water, POB 2583, Brisbane, Qld 4001, Australia;  Pontificia Univ Catolica Chile, Dept Antropol, Santiago, Chile;  Lawrence Livermore Natl Lab, Ctr Accelerator Mass Spectrometry, Livermore, CA 94550 USA;  Arizona State Univ, Sch Earth & Space Explorat, ISTB4,Room 795,781 E Terrace Rd, Tempe, AZ 85287 USA;  Denison Coll, Dept Geosci, 306 Olin Sci Hall,100 West Coll St, Granville, OH 43023 USA;  Univ Magallanes, GAIA Antartica, Punta Arenas, Chile}	Chronology, stratigraphy and hydrological modelling of extensive wetlands and paleolakes in the hyperarid core of the Atacama Desert during the late quaternary	9
10.1016/j.atmosenv.2018.06.043	{Netherlands, Chile, France}	{ Univ Chile, Dept Geofis, FONDAP 1511009, Ctr Climate & Resilience Res CR2, Blanco Encalada 2002, Santiago, Chile;  Univ Chile, Dept Geofis, Fac Ciencias Fis & Matemat, Santiago, Chile;  Univ Paris 06, Sorbonne Univ, Univ Paris Saclay, IPSL Res Univ,UPMC,Lab Meteorol Dynam,Ecole Polyt, Paris, France;  TNO Utrecht, Dept Climate Air & Sustainabil, Utrecht, Netherlands;  Univ Santiago Chile USACH, Santiago, Chile;  Univ Tecn Federico Santa Maria, Santiago, Chile;  Univ Tecnol Metropolitana UTEM, Escuela Mecan, Santiago, Chile}	Impact of residential combustion and transport emissions on air pollution in Santiago during winter	5
10.1016/j.scitotenv.2018.05.119	{Chile}	{ Univ Concepcion, Fac Architecture Urbanism & Geog, Concepcion, Chile;  Ctr Sustainable Urban Dev CEDEUS, Santiago, Chile;  Pontificia Univ Catolica Chile, Inst Geog, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Res Ctr Integrated Disaster Risk Management CIGID, Santiago, Chile}	Megafires in Chile 2017: Monitoring multiscale environmental impacts of burned ecosystems	5
10.1038/s41467-018-06036-0	{Canada, Italy, Czech Republic, Scotland, France, North Ireland, Wales, Argentina, Australia, Iceland, TN 37996 USA, Russia, NY 10964 USA, Germany, Chile, MA 01002 USA, Sweden, Japan, Switzerland, New Zealand, WV 26506 USA, OH 44691 USA, England, NJ 07470 USA, MA 01366 USA, IN 47809 USA, Peoples R China', Austria, VT 05405 USA, Greece, Hungary, AZ 85721 USA}	{' Univ Cambridge, Dept Geog, Cambridge CB2 3EN, England;  Swiss Fed Res Inst WSL, CH-8903 Birmensdorf, Switzerland;  Global Change Res Inst CAS, Brno 60300, Czech Republic;  Masaryk Univ, Dept Geog, Brno 61137, Czech Republic;  Swiss Fed Inst Technol, Lab Ion Beam Phys, CH-8093 Zurich, Switzerland;  Univ Quebec Rimouski, Dept Biol Chim & Geog, Rimouski, PQ G5L 3A1, Canada;  Queens Univ, Sch Nat & Built Environm, Belfast BT7 1NN, Antrim, North Ireland;  Swiss Fed Inst Aquat Sci & Technol Eawag, CH-8600 Dubendorf, Switzerland;  CNR, Trees & Timber Inst, IVALSA, I-38010 San Michele All Adige, TN, Italy;  Off Urbanism, Competence Ctr Underwater Archaeol & Dendrochrono, CH-8008 Zurich, Switzerland;  Univ Auckland, Sch Environm, Auckland 1010, New Zealand;  Friedrich Alexander Univ Erlangen Nurnberg FAU, Inst Geog, D-91058 Erlangen, Germany;  Univ Padua, Dept Terr & Sistemi Agroforestali, I-35020 Legnaro, PD, Italy;  Stockholm Univ, Dept Hist, SE-10691 Stockholm, Sweden;  Stockholm Univ, Bolin Ctr Climate Res, SE-10691 Stockholm, Sweden;  Univ Austral Chile, Lab Dendrocronol & Cambio Globa, Casilla 567, Valdivia, Chile;  Ctr Climate & Resilience Res, Blanco Encalada 2002, Santiago 8370449, Chile;  Univ Vermont, Rubenstein Sch Environm & Nat Resources, Burlington, VT 05405 USA;  Columbia Univ, Lamont Doherty Earth Observ, Tree Ring Lab, Palisades, NY 10964 USA;  William Paterson Univ, Dept Environm Sci, Wayne, NJ 07470 USA;  Iceland Forest Res Magilsa, IS-116 Reykjavik, Iceland;  Johannes Gutenberg Univ Mainz, Dept Geog, D-55099 Mainz, Germany;  Univ Guelph, Dept Geog, Guelph, ON N1G 2W1, Canada;  Univ Lorraine, INRA, AgroParisTech, F-54000 Nancy, France;  Univ Tennessee, Dept Geog, Knoxville, TN 37996 USA;  Swedish Polar Res Secretariat, SE-10405 Stockholm, Sweden;  Stockholm Univ, Dept Phys Geog, SE-10691 Stockholm, Sweden;  Russian Acad Sci, Ural Branch, Inst Plant & Anim Ecol, Ekaterinburg 620144, Russia;  Bavarian State Off Monument Protect, D-80539 Munich, Germany;  W Virginia Univ, Dept Geol & Geog, Morgantown, WV 26506 USA;  German Archaeol Inst, D-14195 Berlin, Germany;  Univ Arizona, Dept Geosci, Tucson, AZ 85721 USA;  Univ Arizona, AMS Lab, Tucson, AZ 85721 USA;  Inst Nucl Res, Isotope Climatol & Environm Res Ctr, H-4001 Debrecen, Hungary;  RAS, SB, Sukachev Inst Forest, Krasnoyarsk 660036, Russia;  Siberian Fed Univ, Dept Humanities, Krasnoyarsk 660041, Russia;  Mendel Univ Brno, Dept Wood Sci, Brno 61300, Czech Republic;  Navarino Environm Observ, GR-24001 Messinia, Greece;  Univ Gothenburg, Dept Earth Sci, S-40530 Gothenburg, Sweden;  Swansea Univ, Dept Geog, Swansea SA2 8PP, W Glam, Wales;  Univ Western Ontario, Dept Geog, London, ON N6A 3K7, Canada;  Nagoya Univ, Inst Space Earth Environm Res, Nagoya, Aichi 4648601, Japan;  Univ Innsbruck, Inst Geog, A-6020 Innsbruck, Austria;  Univ New South Wales, Sch Biol Earth & Environm Sci, Palaeontol Geobiol & Earth Arch Res Ctr, Sydney, NSW 2052, Australia;  Univ New South Wales, Sch Biol Earth & Environm Sci, ARC Ctr Excellence Australian Biodivers & Heritag, Sydney, NSW 2052, Australia;  Univ Arizona, Lab Tree Ring Res, Tucson, AZ 85721 USA;  Harvard Univ, Harvard Forest, Petersham, MA 01366 USA;  Univ Freiburg, Inst Forest Sci, Chair Forest Growth & Dendroecol, Freiburg, Germany;  Paul Scherrer Inst, Lab Environm Chem, CH-5232 Villigen, Switzerland;  Univ Geneva, Inst Environm Sci, CH-1205 Geneva, Switzerland;  Indiana State Univ, Dept Earth & Environm Syst, Terre Haute, IN 47809 USA;  Archaeol Serv Kanton Thurgau AATG, CH-8510 Frauenfeld, Switzerland;  Consejo Nacl Invest Cient & Tecn, IANIGLA, Inst Argentino Nivol Glaciol & Cienc Ambientales, RA-3305500 Mendoza, Argentina;  Coll Wooster, Dept Earth Sci, Wooster, OH 44691 USA;  Univ St Andrews, Sch Geog & Geosci, St Andrews KY16 9AJ, Fife, Scotland;  Hampshire Coll, Sch Nat Sci, Amherst, MA 01002 USA;  Chinese Acad Sci, Northwest Inst Ecoenvironm & Resources, Key Lab Desert & Desertificat, Lanzhou 730000, Gansu, Peoples R China'}	Tree rings reveal globally coherent signature of cosmogenic radiocarbon events in 774 and 993 CE	2
10.3389/fmicb.2018.02039	{Spain, Chile}	{ Pontificia Univ Catolica Chile, Dept Mol Genet & Microbiol, Santiago, Chile;  CSIC, Ctr Natl Biotecnol, Programa Biol Sistemas, Madrid, Spain;  Ctr Climate & Resilience Res, Santiago, Chile}	Active Crossfire Between Cyanobacteria and Cyanophages in Phototrophic Mat Communities Within Hot Springs	2
10.4067/S0717-554X2018000200182	{Brazil, Chile}	{ Univ Chile, Ctr Ciencia Clima & Resiliencia, Santiago, Chile;  Univ Chile, Anal Sistem Aplicado Soc, Santiago, Chile;  Univ Adolfo Ibanez, Escuela Gobierno, Santiago, Chile;  Inst Nacl Invest Espaciales, Nucleo Innovac Tecnol, Sao Jose Dos Campos, Brazil}	Metalogue as a transdisciplinary collaboration tool	3
10.1126/sciadv.aat8785	{Brazil, England, Peru, Chile, France}	{ Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  Univ Leeds, Sch Geog, Leeds, W Yorkshire, England;  CEA CNRS UVSQ, Lab Sci Climat & Environm, F-91190 Gif Sur Yvette, France;  Inst Nacl de Pesquisas da Amazonia, Coordenacao Dinam Ambiental, Manaus, Amazonas, Brazil;  SCAH, IGP, Lima, Peru}	Recent intensification of Amazon flooding extremes driven by strengthened Walker circulation	2
10.1007/s00382-017-4015-0	{Switzerland, Argentina, Australia, Chile}	{ Univ Bern, Inst Geog, CH-3012 Bern, Switzerland;  Univ Bern, Oeschger Ctr Climate Change Res, CH-3012 Bern, Switzerland;  Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT, Australia;  Australian Natl Univ, ARC Ctr Excellence Climate Syst Sci, Canberra, ACT, Australia;  Monash Univ, Sch Earth Atmosphere & Environm, Clayton, Vic 3800, Australia;  Univ Concepcion, Dept Geofis, Concepcion, Chile;  Univ Concepcion, Ctr Climate & Resilience Res, Concepcion, Chile;  Univ Melbourne, Sch Earth Sci, Melbourne, Vic 3010, Australia;  Univ Melbourne, ARC Ctr Excellence Climate Syst Sci, Melbourne, Vic 3010, Australia;  CCT CONICET, Inst Argentino Nivol Glaciol & Ciencias Ambiental, RA-5500 Mendoza, Argentina}	Teleconnection stationarity, variability and trends of the Southern Annular Mode (SAM) during the last millennium	2
10.1126/science.aan5360	{PA 16802 USA, FL 32901 USA, France, AR 72701 USA, Australia, WA 98195 USA, AK 99775 USA, Germany, Chile, Peoples R China, CO 80307 USA, Netherlands, LA 70803 USA, WI 53706 USA, AZ 86011 USA, New Zealand, MI 48109 USA, Russia, England, VA 20192 USA, UT 84112 USA, Japan, AZ 85721 USA}	{ Univ Arizona, Dept Geosci, Tucson, AZ 85721 USA;  Univ Michigan, Sch Environm & Sustainabil, Ann Arbor, MI 48109 USA;  Univ Durham, Dept Biosci, Durham DH1 3LE, England;  Univ Washington, Dept Earth & Space Sci, Seattle, WA 98195 USA;  US Geol Survey, Natl Res Program, Reston, VA 20192 USA;  Univ Southampton, Geog & Environm, Southampton SO17 1BJ, Hants, England;  Univ Utah, Dept Geog, Salt Lake City, UT 84112 USA;  Florida Inst Technol, Dept Biol Sci, Melbourne, FL 32901 USA;  Univ Montpellier, CNRS, UMR 5554, Inst Sci Evolut Montpellier, Bat 22,CC061,Pl Eugene Bataillon, F-34095 Montpellier, France;  Aix Marseille Univ, Avignon Univ, CNRS, IRD,Inst Mediterraneen Biodiversite & Ecol, F-13545 Aix En Provence, France;  Univ New South Wales, Palaeontol Geobiol & Earth Arch Res Ctr PANGEA, Sydney, NSW 2052, Australia;  Chinese Acad Sci, Inst Earth Environm, State Key Lab Loess & Quaternary Geol, Xian 71002, Shaanxi, Peoples R China;  Univ Alaska Fairbanks, Coll Nat Sci & Math, Fairbanks, AK 99775 USA;  Univ Amsterdam, Inst Biodivers & Ecosyst Dynam, NL-1090 GE Amsterdam, Netherlands;  Open Univ, Sch Environm Earth & Ecosyst Sci, Walton Hall, Milton Keynes MK7 6AA, Bucks, England;  Australian Natl Univ, Dept Archaeol & Nat Hist, Canberra, ACT, Australia;  Univ Wisconsin, Dept Bot, Madison, WI 53706 USA;  Penn State Univ, Dept Geosci, State Coll, PA 16802 USA;  Monash Univ, Sch Earth Atmosphere & Environm, Melbourne, Vic 3800, Australia;  Pontificia Univ Catolica Chile, Dept Ecol, IEB, Santiago, Chile;  Sorbonne Univ, CNRS, IRD, MNHN,LOCEAN,IPSL Lab, 4 Pl Jussieu, F-75005 Paris, France;  Louisiana State Univ, Dept Oceanog & Coastal Sci, Baton Rouge, LA 70803 USA;  No Arizona Univ, Sch Informat Comp & Cyber Syst, Flagstaff, AZ 86011 USA;  Russian Acad Sci, North East Interdisciplinary Sci Res Inst, Far East Branch, Magadan 685000, Russia;  Landcare Res, Lincoln 7640, New Zealand;  Univ York, Dept Environm, York Inst Trop Ecosyst, York YO10 5NG, N Yorkshire, England;  Chiba Univ, Grad Sch Hort, Matsudo, Chiba 2718510, Japan;  Univ Chile, Dept Ciencias Ecol, IEB, Santiago, Chile;  Univ Chile, CR2, Santiago, Chile;  Free Univ Berlin, Inst Geol Sci, D-12249 Berlin, Germany;  Natl Ctr Atmospher Res, Climate & Global Dynam Lab, POB 3000, Boulder, CO 80307 USA;  Yunnan Normal Univ, Key Lab Plateau Lake Ecol & Global Change, Kunming 650092, Yunnan, Peoples R China;  Australian Natl Univ, Sch Culture Hist & Language, Canberra, ACT, Australia;  Kyoto Prefectural Univ, Grad Sch Life & Environm Sci, Kyoto 6068522, Japan;  Univ Arkansas, Dept Math Sci, Fayetteville, AR 72701 USA;  CEREGE, F-13545 Aix En Provence, France;  Tongji Univ, Sch Ocean & Earth Sci, Shanghai, Peoples R China;  Hebei Normal Univ, Inst Nihewan Archaeol, Shijiazhuang 050024, Hebei, Peoples R China;  Hebei Normal Univ, Coll Resource & Environm Sci, Shijiazhuang 050024, Hebei, Peoples R China;  Sun Yat Sen Univ, Sch Earth Sci & Engn, Guangdong Prov Key Lab Geodynam & Geohazards, Guangzhou 510275, Guangdong, Peoples R China;  US Geol Survey, Southwest Climate Adaptat Sci Ctr, Tucson, AZ 85721 USA}	Past and future global transformation of terrestrial ecosystems under climate change	3
10.1371/journal.pone.0201195	{MT 59717 USA, CO 80309 USA, Chile, OR 97207 USA}	{ Montana State Univ, Dept Earth Sci, Bozeman, MT 59717 USA;  Univ Concepcion, Fac Ciencias Forestales, Lab Invas Biol, Concepcion, Chile;  IEB, Santiago, Chile;  Portland State Univ, Dept Geog, Portland, OR 97207 USA;  Univ Austral Chile, Lab Ecol Bosques, Inst Conservac Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Colorado, Dept Geog, Boulder, CO 80309 USA;  Montana State Univ, Dept Land Resources & Environm Sci, Bozeman, MT 59717 USA}	Landscape drivers of recent fire activity (2001-2017) in south-central Chile	4
10.1525/elementa.314	{Chile}	{ Ctr Climate & Resilience Res CR2, Valdivia, Chile;  Univ Valparaiso, Sch Ocean Engn, Fac Engn, Valparaiso, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile}	Insight into anthropogenic forcing on coastal upwelling off south-central Chile	3
10.1002/ecs2.2300	{Spain, Chile}	{ Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Lab Ecol Bosques, Fac Ciencias Forestales & Recursos Nat, Casilla 567, Valdivia, Chile;  CR2, Blanco Encalada 2002, Santiago, Chile;  Univ Cadiz, Dept Biol IVAGRO, Puerto Real 11510, Spain;  Univ Chile, Fac Ciencias Fis & Matemat, Dept Geofis, Blanco Encalada 2002, Santiago, Chile;  Corp Nacl Forestal, Dept Planificac & Desarrollo, Paseo Bulnes 259, Santiago, Chile}	The 2010-2015 Megadrought and its influence on the fire regime in central and south-central Chile	4
10.3390/atmos9080304	{Chile}	{ Pontificia Univ Catolica Chile, Dept Ingn Hidraul & Ambiental, Vicuna Mackenna 4860, Santiago 7820436, Chile;  Ctr Interdisciplinario Cambio Global UC CCG UC, Ctr Desarrollo Urbano Sustentable CEDEUS, Ctr Invest Gest Integrada Desastres Nat CIGIDEN, Vicuna Mackenna 4860, Santiago 7820436, Chile;  DMC, Estn Cent, Portales 3450, Santiago 9170018, Chile;  Univ Chile, Ctr Ciencia Clima & Resiliencia, Dept Geofis, Santiago Ctr, Blanco Encalada 2002, Santiago 8370449, Chile}	Using the Weather Research and Forecasting (WRF) Model for Precipitation Forecasting in an Andean Region with Complex Topography	4
10.1175/MWR-D-17-0227.1	{CO 80309 USA, Chile}	{ Univ Colorado, Dept Atmospher & Ocean Sci, Boulder, CO 80309 USA;  Univ Colorado, Cooperat Inst Res Environm Sci, Boulder, CO 80309 USA;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile}	Terrain-Trapped Airflows and Orographic Rainfall along the Coast of Northern California. Part II: Horizontal and Vertical Structures Observed by a Scanning Doppler Radar	2
10.1016/j.gloplacha.2018.05.013	{Chile, Spain}	{ Univ Valladolid, EiFAB, Dept Ciencias Agroforestales, Area Bot, Campus Duques Soria, Soria 42004, Spain;  Univ Austral Chile, Lab Dendrocronol & Cambio Global, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Austral Chile, Fac Ciencias, Inst Ciencias Tierra, Valdivia, Chile}	Coupled human-climate signals on the fire history of upper Cachapoal Valley, Mediterranean Andes of Chile, since 1201 CE	3
10.1016/j.envsci.2018.05.002	{Chile', Chile}	{' Univ Chile, Ctr Climate & Resilience Res, CR2, Blanco 2002, Santiago, Chile;  UAI, Fac Ingn & Ciencias, Diagonal Las Torres 2640, Santiago, Chile;  Ctr UAI EARTH, Diagonal Las Torres 2640, Santiago, Chile;  Pontificia Univ Catolica, Av Vicuna Mackenna 4860, Santiago, Chile'}	Applying knowledge governance to understand the role of science in environmental regulation: The case of arsenic in Chile	3
10.1186/s40663-018-0147-x	{Colombia, Chile}	{ Univ Austral Chile, Escuela Grad, Fac Ciencias Forestales & Recursos Nat, Box 567, Valdivia, Chile;  Univ Tolima, Fac Ingn Forestal, Dept Ciencias Forestales, Box 6299, Ibague, Colombia;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Bosques & Soc, Box 567, Valdivia, Chile;  Univ Chile, Fac Ciencias Fis & Matemat, Dept Geofis, Santiago, Chile}	Alternative approaches for estimating missing climate data: application to monthly precipitation records in South-Central Chile	3
10.5194/acp-18-10615-2018	{Finland, England, WA 98115 USA, CA USA, France, Germany, Chile, Greece, Switzerland, Italy, MD 20771 USA, Japan, Spain}	{ European Ctr Medium Range Weather Forecasts, Reading, Berks, England;  Naval Res Lab, Monterey, CA USA;  World Meteorol Org, Geneva, Switzerland;  Barcelona Supercomp Ctr, Barcelona, Spain;  Sorbonne Univ, CNRS, Inst Pierre Simon Laplace, Paris, France;  Univ Leeds, Leeds, W Yorkshire, England;  UK Met Off, Exeter, Devon, England;  NASA, Goddard Space Flight Ctr, Greenbelt, MD 20771 USA;  AEMET, Izana Atmospher Res Ctr, Santa Cruz De Tenerife, Spain;  Univ Chile, Geophys Dept, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  World Radiat Ctr, Phys Meteorol Observ Davos, Davos, Switzerland;  Natl Observ Athens, Athens, Greece;  Max Planck Inst Meteorol, Hamburg, Germany;  Karlsruhe Inst Technol, Karlsruhe, Germany;  Univ Grenoble Alpes, Grenoble INP, CNRS, IGE,IRD, Grenoble, France;  Natl Ctr Atmospher Sci, Leeds, W Yorkshire, England;  UPMC Univ Paris 06, Lab Meteorol Dynam, Ecole Normale Super,CNRS, Ecole Polytech,IPSL Res Univ,Univ Paris Saclay,So, Palaiseau, France;  CNR, IMAA, Tito, PZ, Italy;  German Aerosp Ctr DLR, German Remote Sensing Data Ctr Atmosphere, Oberpfaffenhofen, Germany;  Japan Meteorol Agcy Meteorol Res Inst, Tsukuba, Ibaraki, Japan;  Spanish Meteorol Agcy, AEMET, Barcelona, Spain;  Leibniz Inst Tropospher Res, Leipzig, Germany;  NOAA, Pacific Marine Environm Lab, 7600 Sand Point Way Ne, Seattle, WA 98115 USA;  Univ Helsinki, Dept Phys, Helsinki, Finland}	Status and future of numerical atmospheric aerosol prediction with a focus on data requirements	2
10.1080/16000870.2018.1481690	{Brazil, England, Chile}	{ Univ Leeds, Sch Geog, Leeds, W Yorkshire, England;  Univ Leeds, Sch Earth & Environm, Leeds, W Yorkshire, England;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  INPE, CPTEC, Cachoeira Paulista, SP, Brazil}	Adding new evidence to the attribution puzzle of the recent water shortage over Sao Paulo (Brazil)	2
10.1016/j.palaeo.2018.03.031	{Chile}	{ Univ Catholic Norte, Fac Ciencias Mar, Ctr Estudios Avanzados Zonas Aridas CEAZA, Ossandon 877, Coquimbo, Chile;  Univ Concepcion, Dept Oceanog, Ctr Ciencia Clima & Resilencia CR2, Barrio Univ S-N, Concepcion, Chile;  Univ Chile, Dept Antropol, Ignacio Carrera Pinto 1045, Santiago, Chile}	delta O-18 of Fissurella maxima as a proxy for reconstructing Early Holocene sea surface temperatures in the coastal Atacama desert (25 degrees S)	3
10.5194/gmd-11-2209-2018	{Brazil, Chile', Germany}	{' Univ Sao Paulo, Dept Atmospher Sci, Rua Matao 1226, Sao Paulo, SP, Brazil;  Univ Sao Paulo, Fac Med, Dept Pathol, Av Dr Arnaldo 455, Sao Paulo, SP, Brazil;  Westfalische Wilhelms Univ Munster, Inst Geoinformat, Heisenbergstr 2, D-48149 Munster, Germany;  Univ Tecn Federico Santa Maria, Dept Mech Engn, Vicuna Mackenna 3939, Santiago, Chile'}	VEIN v0.2.2: an R package for bottom-up vehicular emissions inventories	0
10.1007/s10745-018-9995-9	{Turkey, England, Italy, NJ 08540 USA, Austria, OH 43210 USA, Chile, NJ 08544 USA, Germany, Poland}	{ Justus Liebig Univ Giessen, Dept Geog, Climatol Climate Dynam & Climate Change, Giessen, Germany;  Justus Liebig Univ Giessen, Ctr Int Dev & Environm Res, Giessen, Germany;  Helmholtz Zentrum Geesthacht, Inst Coastal Res, Geesthacht, Germany;  Univ Reading, Sch Human & Environm Sci, Dept Archaeol, Reading, Berks, England;  Univ Reading, Sch Human & Environm Sci, Ctr Climate Change, Reading, Berks, England;  Austrian Acad Sci, Inst Medieval Res, Div Byzantine Res, Vienna, Austria;  Princeton Univ, Hist Dept, Princeton, NJ 08544 USA;  Ohio State Univ, Hist Dept, Columbus, OH 43210 USA;  European Commiss, Joint Res Ctr, Ispra, Italy;  Univ Chile, Dept Geophys, Ctr Climate & Resilience Res, Santiago, Chile;  Mugla Sitki Kocman Univ, Geol Engn Dept, Mugla, Turkey;  Jagiellonian Univ Krakow, Inst Hist, Byzantine Hist Dept, Krakow, Poland;  Inst Adv Study, Sch Hist Studies, Olden Lane, Princeton, NJ 08540 USA;  Max Planck Inst Sci Human Hist, Jena, Germany}	Modelling Climate and Societal Resilience in the Eastern Mediterranean in the Last Millennium	1
